championnat,saison,equipe
Bundesliga,2024-2025,Borussia M.Gladbach
Bundesliga,2024-2025,Eintracht Frankfurt
Bundesliga,2024-2025,FC Heidenheim
Bundesliga,2024-2025,"FC Heidenheim,Mainz 05"
Bundesliga,2024-2025,"FC Heidenheim,VfB Stuttgart"
Bundesliga,2024-2025,Freiburg
Bundesliga,2024-2025,"Freiburg,St. Pauli"
Bundesliga,2024-2025,Hoffenheim
Bundesliga,2024-2025,"Hoffenheim,VfB Stuttgart"
Bundesliga,2024-2025,Holstein Kiel
Bundesliga,2024-2025,Mainz 05
Bundesliga,2024-2025,RasenBallsport Leipzig
Bundesliga,2024-2025,"RasenBallsport Leipzig,Werder Bremen"
Bundesliga,2024-2025,"RasenBallsport Leipzig,Wolfsburg"
Bundesliga,2024-2025,St. Pauli
Bundesliga,2024-2025,Union Berlin
Bundesliga,2024-2025,VfB Stuttgart
Bundesliga,2024-2025,Werder Bremen
Bundesliga,2024-2025,Wolfsburg
Bundesliga,2025-2026,Augsburg
Bundesliga,2025-2026,"Augsburg,Hoffenheim"
Bundesliga,2025-2026,"Augsburg,Mainz 05"
Bundesliga,2025-2026,Bayer Leverkusen
Bundesliga,2025-2026,"Bayer Leverkusen,Borussia M.Gladbach"
Bundesliga,2025-2026,"Bayer Leverkusen,Wolfsburg"
Bundesliga,2025-2026,Bayern Munich
Bundesliga,2025-2026,"Bayern Munich,FC Cologne"
Bundesliga,2025-2026,Borussia Dortmund
Bundesliga,2025-2026,"Borussia Dortmund,Hoffenheim"
Bundesliga,2025-2026,Borussia M.Gladbach
Bundesliga,2025-2026,Eintracht Frankfurt
Bundesliga,2025-2026,FC Cologne
Bundesliga,2025-2026,FC Heidenheim
Bundesliga,2025-2026,"FC Heidenheim,Freiburg"
Bundesliga,2025-2026,"FC Heidenheim,VfB Stuttgart"
Bundesliga,2025-2026,Freiburg
Bundesliga,2025-2026,Hamburger SV
Bundesliga,2025-2026,Hoffenheim
Bundesliga,2025-2026,Mainz 05
Bundesliga,2025-2026,RasenBallsport Leipzig
Bundesliga,2025-2026,St. Pauli
Bundesliga,2025-2026,Union Berlin
Bundesliga,2025-2026,VfB Stuttgart
Bundesliga,2025-2026,Werder Bremen
Bundesliga,2025-2026,Wolfsburg
La Liga,2020-2021,Alaves
La Liga,2020-2021,"Alaves,Athletic Club"
La Liga,2020-2021,"Alaves,Granada"
La Liga,2020-2021,Athletic Club
La Liga,2020-2021,"Athletic Club,Real Valladolid"
La Liga,2020-2021,Atletico Madrid
La Liga,2020-2021,"Atletico Madrid,Osasuna"
La Liga,2020-2021,"Atletico Madrid,Valencia"
La Liga,2020-2021,Barcelona
La Liga,2020-2021,"Barcelona,Getafe"
La Liga,2020-2021,Cadiz
La Liga,2020-2021,"Cadiz,Valencia"
La Liga,2020-2021,Celta Vigo
La Liga,2020-2021,"Celta Vigo,Real Valladolid"
La Liga,2020-2021,Eibar
La Liga,2020-2021,"Eibar,Sevilla"
La Liga,2020-2021,Elche
La Liga,2020-2021,Getafe
La Liga,2020-2021,"Getafe,Villarreal"
La Liga,2020-2021,Granada
La Liga,2020-2021,Levante
La Liga,2020-2021,Osasuna
La Liga,2020-2021,Real Betis
La Liga,2020-2021,Real Madrid
La Liga,2020-2021,Real Sociedad
La Liga,2020-2021,"Real Sociedad,Sevilla"
La Liga,2020-2021,Real Valladolid
La Liga,2020-2021,SD Huesca
La Liga,2020-2021,Sevilla
La Liga,2020-2021,Valencia
La Liga,2020-2021,Villarreal
La Liga,2021-2022,Alaves
La Liga,2021-2022,"Alaves,Rayo Vallecano"
La Liga,2021-2022,"Alaves,Valencia"
La Liga,2021-2022,Athletic Club
La Liga,2021-2022,Atletico Madrid
La Liga,2021-2022,"Atletico Madrid,Barcelona"
La Liga,2021-2022,"Atletico Madrid,Valencia"
La Liga,2021-2022,Barcelona
La Liga,2021-2022,Cadiz
La Liga,2021-2022,"Cadiz,Elche"
La Liga,2021-2022,"Cadiz,Sevilla"
La Liga,2021-2022,"Cadiz,Valencia"
La Liga,2021-2022,Celta Vigo
La Liga,2021-2022,"Celta Vigo,Getafe"
La Liga,2021-2022,Elche
La Liga,2021-2022,Espanyol
La Liga,2021-2022,"Espanyol,Real Betis"
La Liga,2021-2022,Getafe
La Liga,2021-2022,"Getafe,Sevilla"
La Liga,2021-2022,"Getafe,Valencia"
La Liga,2021-2022,Granada
La Liga,2021-2022,"Granada,Valencia"
La Liga,2021-2022,"Granada,Villarreal"
La Liga,2021-2022,Levante
La Liga,2021-2022,Mallorca
La Liga,2021-2022,Osasuna
La Liga,2021-2022,Rayo Vallecano
La Liga,2021-2022,Real Betis
La Liga,2021-2022,Real Madrid
La Liga,2021-2022,Real Sociedad
La Liga,2021-2022,Sevilla
La Liga,2021-2022,Valencia
La Liga,2021-2022,Villarreal
La Liga,2022-2023,Almeria
La Liga,2022-2023,"Almeria,Espanyol"
La Liga,2022-2023,"Almeria,Real Sociedad"
La Liga,2022-2023,Athletic Club
La Liga,2022-2023,Atletico Madrid
La Liga,2022-2023,"Atletico Madrid,Barcelona"
La Liga,2022-2023,Barcelona
La Liga,2022-2023,Cadiz
La Liga,2022-2023,"Cadiz,Elche"
La Liga,2022-2023,"Cadiz,Real Valladolid"
La Liga,2022-2023,Celta Vigo
La Liga,2022-2023,Elche
La Liga,2022-2023,"Elche,Rayo Vallecano"
La Liga,2022-2023,"Elche,Sevilla"
La Liga,2022-2023,"Elche,Villarreal"
La Liga,2022-2023,Espanyol
La Liga,2022-2023,Getafe
La Liga,2022-2023,Girona
La Liga,2022-2023,"Girona,Real Valladolid"
La Liga,2022-2023,"Girona,Villarreal"
La Liga,2022-2023,Mallorca
La Liga,2022-2023,"Mallorca,Villarreal"
La Liga,2022-2023,Osasuna
La Liga,2022-2023,Rayo Vallecano
La Liga,2022-2023,Real Betis
La Liga,2022-2023,Real Madrid
La Liga,2022-2023,Real Sociedad
La Liga,2022-2023,Real Valladolid
La Liga,2022-2023,Sevilla
La Liga,2022-2023,Valencia
La Liga,2022-2023,Villarreal
La Liga,2023-2024,Alaves
La Liga,2023-2024,"Alaves,Granada"
La Liga,2023-2024,"Alaves,Real Sociedad"
La Liga,2023-2024,Almeria
La Liga,2023-2024,"Almeria,Getafe"
La Liga,2023-2024,"Almeria,Las Palmas"
La Liga,2023-2024,Athletic Club
La Liga,2023-2024,Atletico Madrid
La Liga,2023-2024,"Atletico Madrid,Real Sociedad"
La Liga,2023-2024,"Atletico Madrid,Valencia"
La Liga,2023-2024,Barcelona
La Liga,2023-2024,"Barcelona,Girona"
La Liga,2023-2024,"Barcelona,Real Betis"
La Liga,2023-2024,Cadiz
La Liga,2023-2024,Celta Vigo
La Liga,2023-2024,Getafe
La Liga,2023-2024,"Getafe,Girona"
La Liga,2023-2024,Girona
La Liga,2023-2024,Granada
La Liga,2023-2024,Las Palmas
La Liga,2023-2024,Mallorca
La Liga,2023-2024,"Mallorca,Osasuna"
La Liga,2023-2024,Osasuna
La Liga,2023-2024,"Osasuna,Real Betis"
La Liga,2023-2024,Rayo Vallecano
La Liga,2023-2024,Real Betis
La Liga,2023-2024,Real Madrid
La Liga,2023-2024,Real Sociedad
La Liga,2023-2024,Sevilla
La Liga,2023-2024,Valencia
La Liga,2023-2024,Villarreal
La Liga,2024-2025,Alaves
La Liga,2024-2025,"Alaves,Getafe"
La Liga,2024-2025,"Alaves,Valencia"
La Liga,2024-2025,"Alaves,Villarreal"
La Liga,2024-2025,Athletic Club
La Liga,2024-2025,Atletico Madrid
La Liga,2024-2025,Barcelona
La Liga,2024-2025,Celta Vigo
La Liga,2024-2025,"Celta Vigo,Real Betis"
La Liga,2024-2025,"Celta Vigo,Real Valladolid"
La Liga,2024-2025,Espanyol
La Liga,2024-2025,"Espanyol,Real Sociedad"
La Liga,2024-2025,Getafe
La Liga,2024-2025,"Getafe,Real Betis"
La Liga,2024-2025,"Getafe,Villarreal"
La Liga,2024-2025,Girona
La Liga,2024-2025,"Girona,Villarreal"
La Liga,2024-2025,Las Palmas
La Liga,2024-2025,Leganes
La Liga,2024-2025,Mallorca
La Liga,2024-2025,Osasuna
La Liga,2024-2025,"Osasuna,Real Valladolid"
La Liga,2024-2025,Rayo Vallecano
La Liga,2024-2025,Real Betis
La Liga,2024-2025,Real Madrid
La Liga,2024-2025,Real Sociedad
La Liga,2024-2025,"Real Sociedad,Valencia"
La Liga,2024-2025,Real Valladolid
La Liga,2024-2025,Sevilla
La Liga,2024-2025,Valencia
La Liga,2024-2025,Villarreal
La Liga,2025-2026,Alaves
La Liga,2025-2026,Athletic Club
La Liga,2025-2026,Atletico Madrid
La Liga,2025-2026,"Atletico Madrid,Elche"
La Liga,2025-2026,"Atletico Madrid,Osasuna"
La Liga,2025-2026,Barcelona
La Liga,2025-2026,Celta Vigo
La Liga,2025-2026,"Celta Vigo,Elche"
La Liga,2025-2026,"Celta Vigo,Girona"
La Liga,2025-2026,Elche
La Liga,2025-2026,"Elche,Sevilla"
La Liga,2025-2026,Espanyol
La Liga,2025-2026,"Espanyol,Real Sociedad"
La Liga,2025-2026,Getafe
La Liga,2025-2026,Girona
La Liga,2025-2026,"Girona,Real Sociedad"
La Liga,2025-2026,Levante
La Liga,2025-2026,"Levante,Villarreal"
La Liga,2025-2026,Mallorca
La Liga,2025-2026,Osasuna
La Liga,2025-2026,Rayo Vallecano
La Liga,2025-2026,"Rayo Vallecano,Villarreal"
La Liga,2025-2026,Real Betis
La Liga,2025-2026,Real Madrid
La Liga,2025-2026,Real Oviedo
La Liga,2025-2026,Real Sociedad
La Liga,2025-2026,"Real Sociedad,Valencia"
La Liga,2025-2026,Sevilla
La Liga,2025-2026,"Sevilla,Villarreal"
La Liga,2025-2026,Valencia
La Liga,2025-2026,Villarreal
La Liga,2026-2027,Alaves
La Liga,2026-2027,Athletic Club
La Liga,2026-2027,Atletico Madrid
La Liga,2026-2027,Barcelona
La Liga,2026-2027,Celta Vigo
La Liga,2026-2027,Deportivo La Coruna
La Liga,2026-2027,Elche
La Liga,2026-2027,Espanyol
La Liga,2026-2027,Getafe
La Liga,2026-2027,Levante
La Liga,2026-2027,Malaga
La Liga,2026-2027,Osasuna
La Liga,2026-2027,Racing Santander
La Liga,2026-2027,Rayo Vallecano
La Liga,2026-2027,Real Betis
La Liga,2026-2027,Real Madrid
La Liga,2026-2027,Real Sociedad
La Liga,2026-2027,Sevilla
La Liga,2026-2027,Valencia
La Liga,2026-2027,Villarreal
Ligue 1,2020-2021,Angers
Ligue 1,2020-2021,Bordeaux
Ligue 1,2020-2021,Brest
Ligue 1,2020-2021,"Brest,Lyon"
Ligue 1,2020-2021,"Brest,Nimes"
Ligue 1,2020-2021,"Brest,Paris Saint Germain"
Ligue 1,2020-2021,Dijon
Ligue 1,2020-2021,"Dijon,Rennes"
Ligue 1,2020-2021,Lens
Ligue 1,2020-2021,"Lens,Paris Saint Germain"
Ligue 1,2020-2021,Lille
Ligue 1,2020-2021,Lorient
Ligue 1,2020-2021,Lyon
Ligue 1,2020-2021,"Lyon,Nice"
Ligue 1,2020-2021,Marseille
Ligue 1,2020-2021,Metz
Ligue 1,2020-2021,"Metz,Strasbourg"
Ligue 1,2020-2021,Monaco
Ligue 1,2020-2021,"Monaco,Strasbourg"
Ligue 1,2020-2021,Montpellier
Ligue 1,2020-2021,Nantes
Ligue 1,2020-2021,Nice
Ligue 1,2020-2021,"Nice,Nimes"
Ligue 1,2020-2021,Nimes
Ligue 1,2020-2021,Paris Saint Germain
Ligue 1,2020-2021,Reims
Ligue 1,2020-2021,Rennes
Ligue 1,2020-2021,Saint-Etienne
Ligue 1,2020-2021,Strasbourg
Ligue 1,2021-2022,Angers
Ligue 1,2021-2022,"Angers,Nice"
Ligue 1,2021-2022,"Angers,Saint-Etienne"
Ligue 1,2021-2022,Bordeaux
Ligue 1,2021-2022,"Bordeaux,Lyon"
Ligue 1,2021-2022,Brest
Ligue 1,2021-2022,"Brest,Lyon"
Ligue 1,2021-2022,"Brest,Rennes"
Ligue 1,2021-2022,Clermont Foot
Ligue 1,2021-2022,"Clermont Foot,Lorient"
Ligue 1,2021-2022,"Clermont Foot,Nice"
Ligue 1,2021-2022,Lens
Ligue 1,2021-2022,"Lens,Paris Saint Germain"
Ligue 1,2021-2022,Lille
Ligue 1,2021-2022,Lorient
Ligue 1,2021-2022,Lyon
Ligue 1,2021-2022,Marseille
Ligue 1,2021-2022,"Marseille,Nice"
Ligue 1,2021-2022,Metz
Ligue 1,2021-2022,Monaco
Ligue 1,2021-2022,Montpellier
Ligue 1,2021-2022,"Montpellier,Nice"
Ligue 1,2021-2022,"Montpellier,Rennes"
Ligue 1,2021-2022,Nantes
Ligue 1,2021-2022,Nice
Ligue 1,2021-2022,Paris Saint Germain
Ligue 1,2021-2022,Reims
Ligue 1,2021-2022,"Reims,Troyes"
Ligue 1,2021-2022,Rennes
Ligue 1,2021-2022,Saint-Etienne
Ligue 1,2021-2022,Strasbourg
Ligue 1,2021-2022,"Strasbourg,Troyes"
Ligue 1,2021-2022,Troyes
Ligue 1,2022-2023,Ajaccio
Ligue 1,2022-2023,"Ajaccio,Brest"
Ligue 1,2022-2023,Angers
Ligue 1,2022-2023,"Angers,Marseille"
Ligue 1,2022-2023,Auxerre
Ligue 1,2022-2023,"Auxerre,Lille"
Ligue 1,2022-2023,"Auxerre,Marseille"
Ligue 1,2022-2023,"Auxerre,Rennes"
Ligue 1,2022-2023,Brest
Ligue 1,2022-2023,"Brest,Reims"
Ligue 1,2022-2023,Clermont Foot
Ligue 1,2022-2023,Lens
Ligue 1,2022-2023,"Lens,Nantes"
Ligue 1,2022-2023,"Lens,Nice"
Ligue 1,2022-2023,"Lens,Rennes"
Ligue 1,2022-2023,"Lens,Strasbourg"
Ligue 1,2022-2023,Lille
Ligue 1,2022-2023,Lorient
Ligue 1,2022-2023,"Lorient,Lyon"
Ligue 1,2022-2023,"Lorient,Marseille"
Ligue 1,2022-2023,"Lorient,Monaco"
Ligue 1,2022-2023,"Lorient,Nice"
Ligue 1,2022-2023,Lyon
Ligue 1,2022-2023,"Lyon,Rennes"
Ligue 1,2022-2023,"Lyon,Troyes"
Ligue 1,2022-2023,Marseille
Ligue 1,2022-2023,Monaco
Ligue 1,2022-2023,"Monaco,Nice"
Ligue 1,2022-2023,Montpellier
Ligue 1,2022-2023,"Montpellier,Toulouse"
Ligue 1,2022-2023,Nantes
Ligue 1,2022-2023,"Nantes,Nice"
Ligue 1,2022-2023,Nice
Ligue 1,2022-2023,"Nice,Rennes"
Ligue 1,2022-2023,Paris Saint Germain
Ligue 1,2022-2023,Reims
Ligue 1,2022-2023,Rennes
Ligue 1,2022-2023,Strasbourg
Ligue 1,2022-2023,Toulouse
Ligue 1,2022-2023,Troyes
Ligue 1,2023-2024,Brest
Ligue 1,2023-2024,"Brest,Lens"
Ligue 1,2023-2024,"Brest,Nice"
Ligue 1,2023-2024,Clermont Foot
Ligue 1,2023-2024,"Clermont Foot,Lille"
Ligue 1,2023-2024,"Clermont Foot,Monaco"
Ligue 1,2023-2024,"Clermont Foot,Rennes"
Ligue 1,2023-2024,Le Havre
Ligue 1,2023-2024,Lens
Ligue 1,2023-2024,"Lens,Montpellier"
Ligue 1,2023-2024,"Lens,Toulouse"
Ligue 1,2023-2024,Lille
Ligue 1,2023-2024,Lorient
Ligue 1,2023-2024,"Lorient,Marseille"
Ligue 1,2023-2024,"Lorient,Nice"
Ligue 1,2023-2024,Lyon
Ligue 1,2023-2024,"Lyon,Nantes"
Ligue 1,2023-2024,"Lyon,Paris Saint Germain"
Ligue 1,2023-2024,"Lyon,Rennes"
Ligue 1,2023-2024,Marseille
Ligue 1,2023-2024,"Marseille,Nantes"
Ligue 1,2023-2024,Metz
Ligue 1,2023-2024,Monaco
Ligue 1,2023-2024,Montpellier
Ligue 1,2023-2024,Nantes
Ligue 1,2023-2024,Nice
Ligue 1,2023-2024,Paris Saint Germain
Ligue 1,2023-2024,Reims
Ligue 1,2023-2024,"Reims,Rennes"
Ligue 1,2023-2024,Rennes
Ligue 1,2023-2024,Strasbourg
Ligue 1,2023-2024,Toulouse
Ligue 1,2024-2025,Angers
Ligue 1,2024-2025,Auxerre
Ligue 1,2024-2025,Brest
Ligue 1,2024-2025,"Brest,Lyon"
Ligue 1,2024-2025,Le Havre
Ligue 1,2024-2025,"Le Havre,Lyon"
Ligue 1,2024-2025,"Le Havre,Strasbourg"
Ligue 1,2024-2025,Lens
Ligue 1,2024-2025,"Lens,Rennes"
Ligue 1,2024-2025,Lille
Ligue 1,2024-2025,Lyon
Ligue 1,2024-2025,Marseille
Ligue 1,2024-2025,"Marseille,Montpellier"
Ligue 1,2024-2025,"Marseille,Rennes"
Ligue 1,2024-2025,Monaco
Ligue 1,2024-2025,Montpellier
Ligue 1,2024-2025,"Montpellier,Rennes"
Ligue 1,2024-2025,Nantes
Ligue 1,2024-2025,"Nantes,Strasbourg"
Ligue 1,2024-2025,Nice
Ligue 1,2024-2025,"Nice,Rennes"
Ligue 1,2024-2025,Paris Saint Germain
Ligue 1,2024-2025,Reims
Ligue 1,2024-2025,Rennes
Ligue 1,2024-2025,Saint-Etienne
Ligue 1,2024-2025,Strasbourg
Ligue 1,2024-2025,Toulouse
Ligue 1,2025-2026,Angers
Ligue 1,2025-2026,"Angers,Marseille"
Ligue 1,2025-2026,"Angers,Rennes"
Ligue 1,2025-2026,Auxerre
Ligue 1,2025-2026,"Auxerre,Paris FC"
Ligue 1,2025-2026,Brest
Ligue 1,2025-2026,"Brest,Paris FC"
Ligue 1,2025-2026,Le Havre
Ligue 1,2025-2026,Lens
Ligue 1,2025-2026,"Lens,Nantes"
Ligue 1,2025-2026,Lille
Ligue 1,2025-2026,"Lille,Toulouse"
Ligue 1,2025-2026,Lorient
Ligue 1,2025-2026,Lyon
Ligue 1,2025-2026,"Lyon,Rennes"
Ligue 1,2025-2026,Marseille
Ligue 1,2025-2026,Metz
Ligue 1,2025-2026,"Metz,Monaco"
Ligue 1,2025-2026,Monaco
Ligue 1,2025-2026,Nantes
Ligue 1,2025-2026,"Nantes,Strasbourg"
Ligue 1,2025-2026,Nice
Ligue 1,2025-2026,Paris FC
Ligue 1,2025-2026,Paris Saint Germain
Ligue 1,2025-2026,Rennes
Ligue 1,2025-2026,Strasbourg
Ligue 1,2025-2026,Toulouse
Ligue 1,2026-2027,Angers
Ligue 1,2026-2027,Auxerre
Ligue 1,2026-2027,Brest
Ligue 1,2026-2027,Le Havre
Ligue 1,2026-2027,Le Mans
Ligue 1,2026-2027,Lens
Ligue 1,2026-2027,Lille
Ligue 1,2026-2027,Lorient
Ligue 1,2026-2027,Lyon
Ligue 1,2026-2027,Marseille
Ligue 1,2026-2027,Monaco
Ligue 1,2026-2027,Nice
Ligue 1,2026-2027,Paris FC
Ligue 1,2026-2027,Paris Saint Germain
Ligue 1,2026-2027,Rennes
Ligue 1,2026-2027,Strasbourg
Ligue 1,2026-2027,Toulouse
Ligue 1,2026-2027,Troyes
Premier League,2020-2021,Arsenal
Premier League,2020-2021,"Arsenal,Brighton"
Premier League,2020-2021,"Arsenal,Newcastle United"
Premier League,2020-2021,"Arsenal,West Bromwich Albion"
Premier League,2020-2021,Aston Villa
Premier League,2020-2021,"Aston Villa,Chelsea"
Premier League,2020-2021,Brighton
Premier League,2020-2021,Burnley
Premier League,2020-2021,Chelsea
Premier League,2020-2021,"Chelsea,Fulham"
Premier League,2020-2021,Crystal Palace
Premier League,2020-2021,Everton
Premier League,2020-2021,"Everton,Southampton"
Premier League,2020-2021,Fulham
Premier League,2020-2021,Leeds
Premier League,2020-2021,Leicester
Premier League,2020-2021,Liverpool
Premier League,2020-2021,"Liverpool,Southampton"
Premier League,2020-2021,Manchester City
Premier League,2020-2021,Manchester United
Premier League,2020-2021,Newcastle United
Premier League,2020-2021,Sheffield United
Premier League,2020-2021,Southampton
Premier League,2020-2021,Tottenham
Premier League,2020-2021,West Bromwich Albion
Premier League,2020-2021,"West Bromwich Albion,West Ham"
Premier League,2020-2021,West Ham
Premier League,2020-2021,Wolverhampton Wanderers
Premier League,2021-2022,Arsenal
Premier League,2021-2022,"Arsenal,Aston Villa"
Premier League,2021-2022,Aston Villa
Premier League,2021-2022,"Aston Villa,Everton"
Premier League,2021-2022,"Aston Villa,Newcastle United"
Premier League,2021-2022,Brentford
Premier League,2021-2022,Brighton
Premier League,2021-2022,"Brighton,Newcastle United"
Premier League,2021-2022,Burnley
Premier League,2021-2022,"Burnley,Newcastle United"
Premier League,2021-2022,Chelsea
Premier League,2021-2022,Crystal Palace
Premier League,2021-2022,Everton
Premier League,2021-2022,"Everton,Manchester United"
Premier League,2021-2022,"Everton,Tottenham"
Premier League,2021-2022,Leeds
Premier League,2021-2022,"Leeds,Manchester United"
Premier League,2021-2022,Leicester
Premier League,2021-2022,Liverpool
Premier League,2021-2022,Manchester City
Premier League,2021-2022,Manchester United
Premier League,2021-2022,Newcastle United
Premier League,2021-2022,Norwich
Premier League,2021-2022,Southampton
Premier League,2021-2022,Tottenham
Premier League,2021-2022,Watford
Premier League,2021-2022,West Ham
Premier League,2021-2022,Wolverhampton Wanderers
Premier League,2022-2023,Arsenal
Premier League,2022-2023,"Arsenal,Brighton"
Premier League,2022-2023,"Arsenal,Chelsea"
Premier League,2022-2023,"Arsenal,Crystal Palace"
Premier League,2022-2023,"Arsenal,Fulham"
Premier League,2022-2023,Aston Villa
Premier League,2022-2023,"Aston Villa,Southampton"
